image_name,correct_lat,correct_lng,description,image_url
Chùa Bạch Vân – Bến Tre,10.2359,106.3571,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Bach-Van.jpg
Chùa Tuyên Lĩnh – Bến Tre,10.2312,106.3518,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Tuyen-Linh.jpg
Chùa Vạn Phước – Bến Tre,10.2309,106.3514,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Van-Phuoc.jpg
Đền Đức Mẹ La Mã – Bến Tre,10.2323,106.3524,"Một ngôi đền Công giáo với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Công giáo. Đền là nơi hành hương của nhiều người Công giáo.",./images/miennam/Den-Duc-Me-La-Ma.jpg
Đền thờ và mộ Nguyễn Đình Chiểu – Bến Tre,10.2314,106.3522,"Một khu di tích lịch sử văn hóa, nơi thờ tự và an táng nhà thơ yêu nước Nguyễn Đình Chiểu. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Den-tho-va-mo-Nguyen-Dinh-Chieu.jpg
Khu di tích lịch sử Sài Gòn - Gia Định – Bến Tre,10.2312,106.3517,"Một khu di tích lịch sử quốc gia, nơi ghi dấu ấn lịch sử quan trọng của Sài Gòn - Gia Định. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Khu-di-tich-lich-su-Sai-Gon---Gia-Dinh.jpg
Khu du lịch Cồn Phụng – Bến Tre,10.2307,106.3511,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-Con-Phung.jpg
Khu du lịch sinh thái Cồn Quy – Bến Tre,10.2305,106.3509,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-sinh-thai-Con-Quy.jpg
Làng hoa giấy – Bến Tre,10.231,106.3515,"Một làng nghề truyền thống nổi tiếng, nơi sản xuất các sản phẩm hoa giấy đẹp mắt và độc đáo.",./images/miennam/Lang-hoa-giay.jpg
Làng Xanh – Bến Tre,10.2311,106.3516,"Một làng du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Làng có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Lang-Xanh.jpg
Nhà truyền thống Đồng Khởi – Bến Tre,10.2313,106.3519,"Một nhà bảo tàng lịch sử, nơi trưng bày các hiện vật và hình ảnh về phong trào Đồng Khởi.",./images/miennam/Nha-truyen-thong-Dong-Khoi.jpg
Nông trại du lịch sân chìm Vàm Hồ – Bến Tre,10.2315,106.3521,"Một nông trại du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Nông trại có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Nong-trai-du-lich-san-chim-Vam-Ho.jpg
Căn cứ Tà Thiết – Bình Phước,11.8315,106.6341,"Một di tích lịch sử quốc gia đặc biệt, nơi đặt căn cứ của Bộ chỉ huy Miền trong thời kỳ kháng chiến chống Mỹ. Căn cứ có nhiều công trình kiến trúc độc đáo và không gian trang nghiêm.",./images/miennam/Can-cu-Ta-Thiet.jpg
Chùa Phát Quốc Vạn Thành – Bình Phước,11.6669,106.9208,"Một ngôi chùa lớn với kiến trúc đồ sộ, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Phat-Quoc-Van-Thanh.jpg
Chùa Sóc Lớn – Bình Phước,11.5976,106.8778,"Một ngôi chùa Khmer cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Khmer. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Soc-Lon.jpg
Di tích địa điểm chốt chặn Tàu Ô – Bình Phước,11.6667,106.9167,"Một di tích lịch sử, nơi diễn ra trận đánh Tàu Ô nổi tiếng trong thời kỳ kháng chiến chống Mỹ. Di tích có nhiều công trình kiến trúc độc đáo và không gian trang nghiêm.",./images/miennam/Di-tich-dia-diem-chot-chan-Tau-O.jpg
Đồi chè ở Lâm Viên Mỹ Lệ – Bình Phước,11.6667,106.9167,"Một đồi chè xanh mướt, nơi bạn có thể ngắm nhìn cảnh quan thiên nhiên tươi đẹp và thưởng thức trà xanh thơm ngon.",./images/miennam/Doi-che-o-Lam-Vien-My-Le.jpg
Hồ Suối Giai – Bình Phước,11.4167,107.0333,"Một hồ nước lớn với cảnh quan thiên nhiên tươi đẹp, là nơi lý tưởng để thư giãn và ngắm cảnh.",./images/miennam/Ho-Suoi-Giai.jpg
Hồ thủy điện Thác Mơ – Bình Phước,11.4167,107.0333,Một hồ nước lớn được hình thành từ việc xây dựng nhà máy thủy điện Thác Mơ. Hồ có cảnh quan thiên nhiên tươi đẹp và là nơi cung cấp nước cho sinh hoạt và sản xuất.,./images/miennam/Ho-thuy-dien-Thac-Mo.jpg
Núi Bà Rá – Bình Phước,11.4167,107.0333,"Một ngọn núi cao với cảnh quan thiên nhiên hùng vĩ, là nơi lý tưởng để leo núi và ngắm cảnh.",./images/miennam/Nui-Ba-Ra.jpg
Rừng cao su Bù Đăng – Bình Phước,11.4167,107.0333,"Một khu rừng cao su rộng lớn, nơi bạn có thể tìm hiểu về quy trình trồng và khai thác cao su.",./images/miennam/Rung-cao-su-Bu-Dang.jpg
Sóc Bom Bo – Bình Phước,11.4167,107.0333,"Một sóc người S'tiêng, nơi bạn có thể tìm hiểu về văn hóa và phong tục tập quán của người dân tộc S'tiêng.",./images/miennam/Soc-Bom-Bo.jpg
Thác Đắk Mai – Bình Phước,11.4167,107.0333,"Một thác nước đẹp với dòng nước chảy xiết, là nơi lý tưởng để ngắm cảnh và chụp ảnh.",./images/miennam/Thac-Dak-Mai.jpg
Thác Đứng Bình Phước – Bình Phước,11.4167,107.0333,"Một thác nước đẹp với dòng nước chảy xiết, là nơi lý tưởng để ngắm cảnh và chụp ảnh.",./images/miennam/Thac-Dung.jpg
Vườn quốc gia Bù Gia Mập – Bình Phước,11.4167,107.0333,Một vườn quốc gia rộng lớn với hệ sinh thái đa dạng và phong phú. Vườn quốc gia là nơi bảo tồn nhiều loài động vật và thực vật quý hiếm.,./images/miennam/Vuon-quoc-gia-Bu-Gia-Map.jpg
Chùa Bạch Vân – Bình Dương,10.2359,106.3571,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Bach-Van.jpg
Chùa Tuyên Lĩnh – Bình Dương,10.2312,106.3518,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Tuyen-Linh.jpg
Chùa Vạn Phước – Bình Dương,10.2309,106.3514,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Van-Phuoc.jpg
Đền Đức Mẹ La Mã – Bình Dương,10.2323,106.3524,"Một ngôi đền Công giáo với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Công giáo. Đền là nơi hành hương của nhiều người Công giáo.",./images/miennam/Den-Duc-Me-La-Ma.jpg
Đền thờ và mộ Nguyễn Đình Chiểu – Bình Dương,10.2314,106.3522,"Một khu di tích lịch sử văn hóa, nơi thờ tự và an táng nhà thơ yêu nước Nguyễn Đình Chiểu. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Den-tho-va-mo-Nguyen-Dinh-Chieu.jpg
Khu di tích lịch sử Sài Gòn - Gia Định – Bình Dương,10.2312,106.3517,"Một khu di tích lịch sử quốc gia, nơi ghi dấu ấn lịch sử quan trọng của Sài Gòn - Gia Định. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Khu-di-tich-lich-su-Sai-Gon---Gia-Dinh.jpg
Khu du lịch Cồn Phụng – Bình Dương,10.2307,106.3511,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-Con-Phung.jpg
Khu du lịch sinh thái Cồn Quy – Bình Dương,10.2305,106.3509,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-sinh-thai-Con-Quy.jpg
Làng hoa giấy – Bình Dương,10.231,106.3515,"Một làng nghề truyền thống nổi tiếng, nơi sản xuất các sản phẩm hoa giấy đẹp mắt và độc đáo.",./images/miennam/Lang-hoa-giay.jpg
Làng Xanh – Bình Dương,10.2311,106.3516,"Một làng du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Làng có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Lang-Xanh.jpg
Nhà truyền thống Đồng Khởi – Bình Dương,10.2313,106.3519,"Một nhà bảo tàng lịch sử, nơi trưng bày các hiện vật và hình ảnh về phong trào Đồng Khởi.",./images/miennam/Nha-truyen-thong-Dong-Khoi.jpg
Nông trại du lịch sân chìm Vàm Hồ – Bình Dương,10.2315,106.3521,"Một nông trại du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Nông trại có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Nong-trai-du-lich-san-chim-Vam-Ho.jpg
Bãi biển Khai Long – Cà Mau,8.6578,104.8344,"Một bãi biển hoang sơ với bờ cát trắng mịn và làn nước trong xanh. Đây là nơi lý tưởng để tắm biển, thư giãn và ngắm cảnh hoàng hôn.",./images/miennam/Bai-bien-Khai-Long.jpg
Chùa Monivongsa Bopharam – Cà Mau,9.1778,105.15,"Một ngôi chùa Khmer cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Khmer. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Monivongsa-Bopharam.jpg
Chùa Phật Tổ – Cà Mau,9.1797,105.1509,"Một ngôi chùa lớn với kiến trúc đồ sộ, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Phat-To.jpg
Đình Làng Tân Hưng – Cà Mau,9.1816,105.1519,"Một ngôi đình cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Việt Nam. Đình là nơi thờ tự Thành Hoàng và các vị thần linh được người dân địa phương tôn kính.",./images/miennam/Dinh-Lang-Tan-Hung.jpg
Khu du lịch Khai Long – Cà Mau,8.6578,104.8344,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-Khai-Long.jpg
Khu du lịch sinh thái Sông Trẹm – Cà Mau,9.1835,105.1528,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-sinh-thai-Song-Trem.jpg
Khu tưởng niệm Chủ tịch Hồ Chí Minh – Cà Mau,9.1854,105.1538,"Một khu tưởng niệm lịch sử văn hóa, nơi ghi dấu ấn lịch sử quan trọng của Việt Nam. Khu tưởng niệm có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Khu-tuong-niem-Chu-tich-Ho-Chi-Minh.jpg
Nhà Dây Thép – Cà Mau,9.1873,105.1548,"Một di tích lịch sử, nơi ghi dấu ấn lịch sử quan trọng của Cà Mau. Di tích có nhiều công trình kiến trúc độc đáo và không gian trang nghiêm.",./images/miennam/Nha-Day-Thep.jpg
Rừng U Minh Hạ – Cà Mau,9.1892,105.1557,Một khu rừng ngập mặn rộng lớn với hệ sinh thái đa dạng và phong phú. Rừng U Minh Hạ là nơi bảo tồn nhiều loài động vật và thực vật quý hiếm.,./images/miennam/Rung-U-Minh-Ha.jpg
Chùa Ông – Đồng Nai,10.9529,106.6669,"Chùa Ông là một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Trung Hoa. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, trang nghiêm.",./images/miennam/Chua-Ong.jpg
Đá Ba Chồng – Đồng Nai,10.9632,106.6664,"Đá Ba Chồng là một quần thể đá tự nhiên độc đáo, với những tảng đá xếp chồng lên nhau một cách kỳ lạ. Đây là một điểm tham quan hấp dẫn đối với những ai yêu thích khám phá thiên nhiên.",./images/miennam/Da-Ba-Chong.jpg
Đảo Ó - Đồng Nai,11.1118,107.1034,"Đảo Ó là một hòn đảo xinh đẹp nằm giữa lòng hồ Trị An. Nơi đây có cảnh quan thiên nhiên hoang sơ, không khí trong lành và là điểm đến lý tưởng để cắm trại, dã ngoại.",./images/miennam/Dao-O.jpg
Du lịch sinh thái Ngọc Hoa Trang,10.9575,106.671,"Khu du lịch sinh thái Ngọc Hoa Trang có không gian xanh mát, nhiều loại cây ăn trái và các hoạt động vui chơi giải trí dân dã.",./images/miennam/Du-lich-sinh-thai-Ngoc-Hoa-Trang.jpg
Hồ Trị An,11.1944,107.1624,"Hồ Trị An là một hồ nước nhân tạo rộng lớn, có cảnh quan thiên nhiên tươi đẹp. Bạn có thể đi thuyền trên hồ, câu cá hoặc ngắm cảnh.",./images/miennam/Ho-Tri-An.jpg
Khu du lịch Bửu Long,10.9631,106.668,"Khu du lịch Bửu Long có nhiều công trình kiến trúc đẹp mắt, các trò chơi giải trí và không gian xanh mát.",./images/miennam/Khu-du-lich-Buu-Long.jpg
Khu du lịch Vườn Xoài,11.0252,106.6661,Khu du lịch Vườn Xoài là một điểm đến lý tưởng cho những ai muốn tìm hiểu về quy trình trồng và chăm sóc xoài. Bạn có thể thưởng thức xoài tươi ngon tại vườn và mua các sản phẩm chế biến từ xoài về làm quà.,./images/miennam/Khu-du-lich-Vuon-Xoai.jpg
Rừng Mã Đà,11.1963,106.6738,"Rừng Mã Đà là một khu rừng nguyên sinh rộng lớn, có hệ sinh thái đa dạng và phong phú. Đây là nơi lý tưởng để khám phá thiên nhiên và tìm hiểu về các loài động vật hoang dã.",./images/miennam/Rung-Ma-Da.jpg
Thác Đá Hàn,10.957,106.6655,"Thác Đá Hàn là một thác nước đẹp với dòng nước chảy xiết, tạo nên khung cảnh hùng vĩ. Bạn có thể tắm thác, ngắm cảnh và chụp ảnh tại đây.",./images/miennam/Thac-Da-Han.jpg
Thác Giang Điền,10.9571,106.6675,"Thác Giang Điền là một thác nước đẹp với nhiều tầng thác, xung quanh là rừng cây xanh mát. Bạn có thể tắm thác, đi bộ đường dài hoặc cắm trại tại đây.",./images/miennam/Thac-Giang-Dien.jpg
Văn miếu Trấn Biên,10.9572,106.6695,Văn miếu Trấn Biên là một di tích lịch sử văn hóa quan trọng của Đồng Nai. Đây là nơi thờ Khổng Tử và các bậc hiền triết của Việt Nam.,./images/miennam/Van-mieu-Tran-Bien.jpg
Chùa Lá Sen – Đồng Tháp,10.4658,105.4208,"Chùa Lá Sen nổi tiếng với những lá sen khổng lồ có thể đỡ được người. Ngôi chùa có kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo.",./images/miennam/Chua-La-Sen.jpg
Chùa Long Phước – Đồng Tháp,10.4583,105.4167,Chùa Long Phước là một ngôi chùa cổ kính với kiến trúc truyền thống. Chùa có không gian thanh tịnh và là nơi sinh hoạt tín ngưỡng của người dân địa phương.,./images/miennam/Chua-Long-Phuoc.jpg
Chùa Ông Kiến An Cung – Đồng Tháp,10.45,105.41,"Chùa Ông Kiến An Cung là một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Trung Hoa. Chùa có nhiều tượng Phật và các công trình kiến trúc đẹp mắt.",./images/miennam/Chua-Ong-Kien-An-Cung.jpg
Khu di tích Gò Tháp – Đồng Tháp,10.6667,105.4333,"Gò Tháp là một khu di tích khảo cổ học quan trọng, với nhiều di vật và công trình kiến trúc cổ xưa. Đây là nơi bạn có thể tìm hiểu về lịch sử và văn hóa của vùng đất Đồng Tháp.",./images/miennam/Khu-di-tich-Go-Thap.jpg
Khu di tích Lăng cụ Phó bảng Nguyễn Sinh Sắc – Đồng Tháp,10.25,105.6667,Lăng cụ Phó bảng Nguyễn Sinh Sắc là nơi an nghỉ của thân sinh Chủ tịch Hồ Chí Minh. Khu di tích có kiến trúc trang nghiêm và là nơi tưởng nhớ một nhà nho yêu nước.,./images/miennam/Khu-di-tich-Lang-cu-Pho-bang-Nguyen-Sinh-Sac.jpg
Khu du lịch sinh thái Đồng Sen Tháp Mười – Đồng Tháp,10.5,105.5,"Khu du lịch sinh thái Đồng Sen Tháp Mười có cảnh quan thiên nhiên tươi đẹp với những cánh đồng sen rộng lớn. Bạn có thể tham quan các vườn sen, đi thuyền trên đầm và thưởng thức các món ăn đặc sản từ sen.",./images/miennam/Khu-du-lich-sinh-thai-Dong-Sen-Thap-Muoi.jpg
Khu du lịch Xẻo Quýt – Đồng Tháp,10.4,105.6,"Xẻo Quýt là một khu du lịch sinh thái với những con rạch nhỏ len lỏi giữa rừng tràm. Bạn có thể đi thuyền trên các con rạch, tham quan các di tích lịch sử và tìm hiểu về hệ sinh thái rừng tràm.",./images/miennam/Khu-du-lich-Xeo-Quyt.jpg
